cart_id,user_id,product_id,quantity,price_at_add,added_at,category
cart_000001,user_00009,prod_0068,3,298.55,2023-12-10T00:00:00Z,Sports & Fitness
cart_000001,user_00009,prod_0015,1,55.31,2023-12-16T00:00:00Z,Electronics
cart_000001,user_00009,prod_0019,3,273.46,2023-12-06T00:00:00Z,Fashion
cart_000001,user_00009,prod_0005,3,137.07,2023-12-07T00:00:00Z,Electronics
cart_000002,user_00010,prod_0050,2,60.92,2023-12-08T00:00:00Z,Books
cart_000002,user_00010,prod_0038,3,160.14,2023-12-07T00:00:00Z,Home & Kitchen
cart_000002,user_00010,prod_0044,2,25.83,2023-12-25T00:00:00Z,Home & Kitchen
cart_000003,user_00011,prod_0035,3,75.82,2023-12-23T00:00:00Z,Home & Kitchen
cart_000004,user_00013,prod_0021,2,46.05,2023-12-26T00:00:00Z,Fashion
cart_000004,user_00013,prod_0041,1,77.88,2023-12-24T00:00:00Z,Home & Kitchen
cart_000004,user_00013,prod_0057,3,209.8,2023-12-23T00:00:00Z,Books
cart_000005,user_00017,prod_0040,2,202.48,2023-12-31T00:00:00Z,Home & Kitchen
cart_000005,user_00017,prod_0051,3,141.01,2023-12-05T00:00:00Z,Books
cart_000006,user_00024,prod_0009,3,219.54,2023-12-04T00:00:00Z,Electronics
cart_000006,user_00024,prod_0001,3,192.99,2023-12-08T00:00:00Z,Electronics
cart_000006,user_00024,prod_0060,1,176.75,2023-12-28T00:00:00Z,Books
cart_000007,user_00028,prod_0048,3,258.97,2023-12-08T00:00:00Z,Books
cart_000007,user_00028,prod_0040,1,202.48,2023-12-17T00:00:00Z,Home & Kitchen
cart_000007,user_00028,prod_0001,1,192.99,2023-12-28T00:00:00Z,Electronics
cart_000007,user_00028,prod_0012,3,294.66,2023-12-19T00:00:00Z,Electronics
cart_000007,user_00028,prod_0011,3,212.14,2023-12-19T00:00:00Z,Electronics
cart_000007,user_00028,prod_0018,2,14.44,2023-12-19T00:00:00Z,Fashion
cart_000008,user_00029,prod_0042,3,72.65,2023-12-30T00:00:00Z,Home & Kitchen
cart_000008,user_00029,prod_0058,2,148.08,2023-12-06T00:00:00Z,Books
cart_000008,user_00029,prod_0017,2,100.34,2023-12-27T00:00:00Z,Fashion
cart_000009,user_00030,prod_0095,2,180.39,2023-12-02T00:00:00Z,Automotive
cart_000009,user_00030,prod_0094,2,290.3,2023-12-23T00:00:00Z,Automotive
cart_000009,user_00030,prod_0011,2,212.14,2023-12-07T00:00:00Z,Electronics
cart_000009,user_00030,prod_0091,1,61.78,2023-12-28T00:00:00Z,Automotive
cart_000010,user_00031,prod_0070,3,263.51,2023-12-15T00:00:00Z,Sports & Fitness
cart_000011,user_00040,prod_0015,2,55.31,2023-12-08T00:00:00Z,Electronics
cart_000011,user_00040,prod_0029,3,138.39,2023-12-28T00:00:00Z,Fashion
cart_000011,user_00040,prod_0010,1,91.19,2023-12-17T00:00:00Z,Electronics
cart_000011,user_00040,prod_0059,3,175.28,2023-12-26T00:00:00Z,Books
cart_000012,user_00043,prod_0047,3,33.5,2023-12-31T00:00:00Z,Books
cart_000013,user_00046,prod_0037,3,42.75,2023-12-18T00:00:00Z,Home & Kitchen
cart_000013,user_00046,prod_0059,2,175.28,2023-12-08T00:00:00Z,Books
cart_000013,user_00046,prod_0049,2,219.09,2023-12-10T00:00:00Z,Books
cart_000014,user_00049,prod_0077,2,129.53,2023-12-12T00:00:00Z,Beauty
cart_000014,user_00049,prod_0062,3,24.98,2023-12-23T00:00:00Z,Sports & Fitness
cart_000014,user_00049,prod_0064,2,128.25,2023-12-04T00:00:00Z,Sports & Fitness
cart_000014,user_00049,prod_0094,2,290.3,2023-12-02T00:00:00Z,Automotive
cart_000015,user_00052,prod_0065,2,81.67,2023-12-31T00:00:00Z,Sports & Fitness
cart_000015,user_00052,prod_0051,2,141.01,2023-12-14T00:00:00Z,Books
cart_000015,user_00052,prod_0098,2,163.3,2023-12-07T00:00:00Z,Automotive
cart_000015,user_00052,prod_0050,1,60.92,2023-12-13T00:00:00Z,Books
cart_000015,user_00052,prod_0088,3,236.49,2023-12-02T00:00:00Z,Toys & Games
cart_000015,user_00052,prod_0063,1,266.74,2023-12-10T00:00:00Z,Sports & Fitness
cart_000016,user_00058,prod_0031,3,92.74,2023-12-23T00:00:00Z,Home & Kitchen
cart_000016,user_00058,prod_0048,3,258.97,2023-12-18T00:00:00Z,Books
cart_000016,user_00058,prod_0049,2,219.09,2023-12-07T00:00:00Z,Books
cart_000016,user_00058,prod_0058,2,148.08,2023-12-17T00:00:00Z,Books
cart_000016,user_00058,prod_0075,3,64.86,2023-12-06T00:00:00Z,Beauty
cart_000017,user_00060,prod_0058,1,148.08,2023-12-03T00:00:00Z,Books
cart_000017,user_00060,prod_0087,3,126.04,2023-12-28T00:00:00Z,Toys & Games
cart_000018,user_00062,prod_0070,2,263.51,2023-12-04T00:00:00Z,Sports & Fitness
cart_000018,user_00062,prod_0084,3,169.61,2023-12-30T00:00:00Z,Toys & Games
cart_000018,user_00062,prod_0044,1,25.83,2023-12-28T00:00:00Z,Home & Kitchen
cart_000019,user_00063,prod_0013,2,138.3,2023-12-31T00:00:00Z,Electronics
cart_000020,user_00064,prod_0034,2,263.34,2023-12-26T00:00:00Z,Home & Kitchen
cart_000020,user_00064,prod_0097,1,18.05,2023-12-23T00:00:00Z,Automotive
cart_000021,user_00065,prod_0027,2,8.38,2024-01-01T00:00:00Z,Fashion
cart_000022,user_00067,prod_0059,1,175.28,2023-12-03T00:00:00Z,Books
cart_000022,user_00067,prod_0030,1,229.02,2024-01-01T00:00:00Z,Fashion
cart_000023,user_00072,prod_0060,3,176.75,2023-12-09T00:00:00Z,Books
cart_000024,user_00076,prod_0090,1,246.24,2023-12-06T00:00:00Z,Toys & Games
cart_000024,user_00076,prod_0002,1,46.02,2023-12-26T00:00:00Z,Electronics
cart_000024,user_00076,prod_0089,3,70.4,2023-12-17T00:00:00Z,Toys & Games
cart_000024,user_00076,prod_0025,3,129.12,2023-12-27T00:00:00Z,Fashion
cart_000025,user_00077,prod_0094,1,290.3,2023-12-05T00:00:00Z,Automotive
cart_000025,user_00077,prod_0032,1,229.18,2023-12-08T00:00:00Z,Home & Kitchen
cart_000025,user_00077,prod_0050,3,60.92,2023-12-28T00:00:00Z,Books
cart_000025,user_00077,prod_0048,2,258.97,2023-12-28T00:00:00Z,Books
cart_000026,user_00079,prod_0090,3,246.24,2023-12-30T00:00:00Z,Toys & Games
cart_000026,user_00079,prod_0050,2,60.92,2023-12-18T00:00:00Z,Books
cart_000026,user_00079,prod_0073,2,44.48,2023-12-12T00:00:00Z,Beauty
cart_000026,user_00079,prod_0052,3,258.24,2023-12-04T00:00:00Z,Books
