product_id,name,category,price,avg_rating,review_count,in_stock,tags
prod_0001,Wireless Earbuds,Electronics,192.99,3.2,2265,True,"['electronics', 'wireless']"
prod_0002,Bluetooth Speaker,Electronics,46.02,3.4,4479,True,"['electronics', 'bluetooth']"
prod_0003,USB-C Hub,Electronics,129.05,3.3,1803,True,"['electronics', 'usb-c']"
prod_0004,Mechanical Keyboard,Electronics,181.99,4.2,4476,True,"['electronics', 'mechanical']"
prod_0005,Webcam 1080p,Electronics,137.07,3.7,65,True,"['electronics', 'webcam']"
prod_0006,LED Desk Lamp,Electronics,51.94,3.9,2288,True,"['electronics', 'led']"
prod_0007,Portable Charger,Electronics,286.42,3.8,771,True,"['electronics', 'portable']"
prod_0008,Smart Watch,Electronics,110.54,3.8,2178,True,"['electronics', 'smart']"
prod_0009,Noise-Cancel Headphones,Electronics,219.54,4.1,3112,True,"['electronics', 'noise-cancel']"
prod_0010,Gaming Mouse,Electronics,91.19,4.3,2974,True,"['electronics', 'gaming']"
prod_0011,Monitor 27in,Electronics,212.14,3.3,1878,True,"['electronics', 'monitor']"
prod_0012,Laptop Stand,Electronics,294.66,4.7,839,True,"['electronics', 'laptop']"
prod_0013,Raspberry Pi 4,Electronics,138.3,4.6,1344,True,"['electronics', 'raspberry']"
prod_0014,Arduino Starter Kit,Electronics,66.6,3.7,596,True,"['electronics', 'arduino']"
prod_0015,HDMI Cable 2m,Electronics,55.31,4.4,1350,True,"['electronics', 'hdmi']"
prod_0016,Slim-Fit Jeans,Fashion,84.36,4.8,4574,True,"['fashion', 'slim-fit']"
prod_0017,Running Sneakers,Fashion,100.34,4.5,470,True,"['fashion', 'running']"
prod_0018,Leather Wallet,Fashion,14.44,3.7,2205,False,"['fashion', 'leather']"
prod_0019,Casual Hoodie,Fashion,273.46,4.2,2589,True,"['fashion', 'casual']"
prod_0020,Formal Shirt,Fashion,151.77,4.7,3770,True,"['fashion', 'formal']"
