cart_id,user_id,product_id,quantity,price_at_add,added_at,category
cart_000001,user_04654,prod_0311,2,436.4,2023-01-23T01:00:01Z,Fashion
cart_000002,user_02413,prod_0904,1,19.7,2023-08-11T00:37:42Z,Toys & Games
cart_000003,user_01125,prod_0131,2,527.28,2023-12-21T00:57:55Z,Electronics
cart_000004,user_00773,prod_0208,1,199.08,2023-04-13T00:03:41Z,Fashion
cart_000005,user_02654,prod_0565,1,55.35,2024-12-06T10:34:55Z,Books
cart_000006,user_03860,prod_0021,1,186.73,2024-07-25T05:15:48Z,Electronics
cart_000007,user_03813,prod_0205,1,370.19,2022-07-05T23:16:43Z,Fashion
cart_000008,user_01320,prod_0875,1,20.33,2024-06-27T15:51:47Z,Toys & Games
cart_000009,user_04238,prod_0578,1,65.3,2022-03-01T21:41:23Z,Books
cart_000010,user_06804,prod_0175,1,1322.0,2023-12-31T08:18:54Z,Electronics
cart_000011,user_04443,prod_0727,1,359.59,2022-02-13T07:45:07Z,Sports & Fitness
cart_000012,user_01595,prod_0813,2,46.41,2024-10-04T19:18:10Z,Beauty
cart_000013,user_09537,prod_0223,2,302.3,2022-01-28T09:38:38Z,Fashion
cart_000014,user_03885,prod_0666,2,501.31,2024-07-20T11:00:47Z,Sports & Fitness
cart_000015,user_03365,prod_0907,2,163.4,2023-12-19T05:30:02Z,Toys & Games
cart_000016,user_04122,prod_0341,1,180.44,2022-05-10T11:37:47Z,Fashion
cart_000017,user_02951,prod_0904,1,19.7,2023-11-27T02:19:46Z,Toys & Games
cart_000018,user_05724,prod_0602,5,53.28,2024-01-20T05:43:20Z,Books
cart_000019,user_05360,prod_0106,1,1057.38,2024-09-09T21:24:07Z,Electronics
cart_000020,user_07306,prod_0501,4,123.37,2023-08-15T23:17:29Z,Home & Kitchen
cart_000021,user_07237,prod_0560,2,69.43,2024-03-19T21:29:30Z,Books
cart_000022,user_01442,prod_0270,1,271.15,2022-12-10T10:43:05Z,Fashion
cart_000023,user_02088,prod_0457,4,240.23,2023-03-23T21:23:28Z,Home & Kitchen
cart_000024,user_06509,prod_0111,1,902.71,2022-12-24T02:02:05Z,Electronics
cart_000025,user_00160,prod_0551,2,67.06,2023-10-15T04:59:03Z,Books
cart_000026,user_06796,prod_0411,1,67.96,2022-03-27T12:32:42Z,Home & Kitchen
cart_000027,user_08914,prod_0569,3,47.84,2022-02-25T23:08:57Z,Books
cart_000028,user_07277,prod_0303,1,197.18,2024-11-14T19:47:47Z,Fashion
cart_000029,user_00169,prod_0346,3,249.78,2024-02-08T13:06:16Z,Fashion
cart_000030,user_03282,prod_0718,1,724.57,2023-12-12T07:16:12Z,Sports & Fitness
cart_000031,user_02038,prod_0185,1,80.18,2024-07-08T09:14:25Z,Fashion
cart_000032,user_01270,prod_0717,1,631.7,2023-05-15T15:54:59Z,Sports & Fitness
cart_000033,user_08479,prod_0707,1,611.18,2022-07-31T05:11:49Z,Sports & Fitness
cart_000034,user_04665,prod_0497,2,419.59,2022-06-29T22:15:16Z,Home & Kitchen
cart_000035,user_04327,prod_0542,1,27.1,2024-06-20T07:51:19Z,Books
cart_000036,user_05787,prod_0967,1,216.82,2022-11-27T18:19:12Z,Automotive
cart_000037,user_06865,prod_0142,1,1487.88,2024-07-28T15:55:59Z,Electronics
cart_000038,user_08501,prod_0076,1,1022.29,2023-02-10T05:53:39Z,Electronics
cart_000039,user_05477,prod_0120,1,616.84,2022-11-01T12:18:24Z,Electronics
cart_000040,user_09052,prod_0415,1,244.99,2022-06-18T21:56:35Z,Home & Kitchen
cart_000041,user_09672,prod_0930,1,422.1,2024-11-14T16:07:59Z,Automotive
cart_000042,user_01149,prod_0297,1,198.51,2023-05-19T19:16:36Z,Fashion
cart_000043,user_02121,prod_0588,5,77.33,2023-04-14T01:57:26Z,Books
cart_000044,user_03786,prod_0009,4,1310.56,2023-07-15T22:42:17Z,Electronics
cart_000045,user_09080,prod_0692,2,452.37,2023-01-17T13:56:37Z,Sports & Fitness
cart_000046,user_01873,prod_0131,2,527.28,2023-08-16T17:24:29Z,Electronics
cart_000047,user_06425,prod_0366,2,306.69,2023-02-13T02:18:05Z,Home & Kitchen
cart_000048,user_02525,prod_0579,2,17.1,2022-08-30T22:08:38Z,Books
cart_000049,user_06107,prod_0601,4,79.52,2024-08-19T16:18:06Z,Books
cart_000050,user_05521,prod_0346,4,249.78,2023-04-04T23:46:12Z,Fashion
cart_000051,user_08801,prod_0048,1,1175.57,2023-06-15T07:57:29Z,Electronics
cart_000052,user_04114,prod_0817,3,121.91,2022-07-24T17:32:58Z,Beauty
cart_000053,user_06892,prod_0059,1,1122.31,2023-04-24T04:05:35Z,Electronics
cart_000054,user_06872,prod_0179,3,589.05,2023-09-25T02:01:41Z,Electronics
cart_000055,user_09437,prod_0249,2,131.11,2022-12-06T05:57:47Z,Fashion
cart_000056,user_04297,prod_0964,1,360.28,2023-12-03T04:20:54Z,Automotive
cart_000057,user_04234,prod_0589,1,28.95,2022-11-03T04:18:22Z,Books
cart_000058,user_03004,prod_0528,3,41.83,2023-04-16T10:25:02Z,Books
cart_000059,user_07194,prod_0278,1,100.57,2023-02-25T07:50:11Z,Fashion
cart_000060,user_05747,prod_0906,1,15.81,2024-01-26T20:35:43Z,Toys & Games
cart_000061,user_03701,prod_0365,1,285.58,2024-03-12T18:02:21Z,Home & Kitchen
cart_000062,user_06587,prod_0034,1,153.18,2024-03-22T12:13:40Z,Electronics
cart_000063,user_00099,prod_0212,4,438.64,2023-12-24T20:12:57Z,Fashion
cart_000064,user_09078,prod_0528,1,41.83,2024-12-11T09:12:52Z,Books
cart_000065,user_01915,prod_0945,1,121.26,2023-04-10T08:05:11Z,Automotive
cart_000066,user_09293,prod_0097,1,1015.6,2022-06-01T16:14:03Z,Electronics
cart_000067,user_08295,prod_0052,1,1251.77,2024-08-28T16:39:39Z,Electronics
cart_000068,user_07480,prod_0813,1,46.41,2024-08-26T08:09:11Z,Beauty
cart_000069,user_05639,prod_0242,2,91.79,2024-12-10T11:23:02Z,Fashion
cart_000070,user_03336,prod_0881,3,7.89,2024-01-16T15:03:00Z,Toys & Games
cart_000071,user_04962,prod_0630,1,50.33,2024-03-12T06:18:03Z,Books
cart_000072,user_01929,prod_0407,3,563.23,2024-05-25T03:48:02Z,Home & Kitchen
cart_000073,user_08349,prod_0534,1,41.19,2022-12-02T04:35:30Z,Books
cart_000074,user_00653,prod_0659,2,347.45,2023-12-17T22:19:51Z,Sports & Fitness
cart_000075,user_01330,prod_0925,1,317.15,2024-08-08T22:29:42Z,Automotive
cart_000076,user_04039,prod_0080,1,1001.59,2022-10-13T09:52:39Z,Electronics
cart_000077,user_05529,prod_0261,1,392.26,2022-04-25T09:41:41Z,Fashion
cart_000078,user_00686,prod_0043,2,1306.01,2022-08-25T21:11:49Z,Electronics
cart_000079,user_04842,prod_0902,4,32.78,2023-05-08T02:51:14Z,Toys & Games
cart_000080,user_06491,prod_0236,1,347.71,2022-06-20T01:37:11Z,Fashion
cart_000081,user_08094,prod_0639,1,299.51,2023-03-09T01:23:30Z,Sports & Fitness
cart_000082,user_03981,prod_0286,1,462.58,2024-08-19T11:13:54Z,Fashion
cart_000083,user_04816,prod_0462,1,272.76,2023-11-25T21:42:02Z,Home & Kitchen
cart_000084,user_01198,prod_0039,1,712.82,2022-07-17T12:53:44Z,Electronics
cart_000085,user_05775,prod_0446,1,167.26,2022-12-12T20:40:34Z,Home & Kitchen
cart_000086,user_07278,prod_0255,1,62.46,2023-12-21T19:15:46Z,Fashion
cart_000087,user_03352,prod_0616,1,60.63,2024-10-19T13:09:40Z,Books
cart_000088,user_04274,prod_0064,1,334.47,2023-05-06T01:00:23Z,Electronics
cart_000089,user_05524,prod_0238,5,106.07,2024-07-16T06:34:19Z,Fashion
cart_000090,user_03190,prod_0041,1,1335.79,2022-10-16T16:01:00Z,Electronics
cart_000091,user_00571,prod_0015,1,318.32,2023-10-24T01:10:02Z,Electronics
cart_000092,user_02272,prod_0774,1,153.22,2023-10-26T03:07:39Z,Beauty
cart_000093,user_04666,prod_0583,2,71.75,2022-12-27T01:06:01Z,Books
cart_000094,user_03730,prod_0560,1,69.43,2022-01-24T12:49:11Z,Books
cart_000095,user_08584,prod_0652,1,775.26,2024-06-02T15:51:24Z,Sports & Fitness
cart_000096,user_05156,prod_0550,1,66.0,2022-11-17T04:31:09Z,Books
cart_000097,user_09793,prod_0343,1,264.67,2022-06-06T09:52:12Z,Fashion
cart_000098,user_05974,prod_0105,3,403.41,2023-04-10T17:43:38Z,Electronics
cart_000099,user_01810,prod_0192,2,335.04,2024-10-14T18:47:24Z,Fashion
cart_000100,user_03206,prod_0024,1,869.87,2023-10-05T04:58:22Z,Electronics
cart_000101,user_03103,prod_0685,1,626.96,2022-06-13T20:30:39Z,Sports & Fitness
cart_000102,user_08673,prod_0212,1,438.64,2022-01-27T05:40:18Z,Fashion
cart_000103,user_00970,prod_0634,2,326.04,2024-07-21T01:07:10Z,Sports & Fitness
cart_000104,user_01434,prod_0526,1,48.39,2022-02-10T14:29:40Z,Books
cart_000105,user_02403,prod_0510,2,316.25,2024-02-16T03:23:13Z,Home & Kitchen
cart_000106,user_03468,prod_0141,2,605.61,2024-11-24T20:56:58Z,Electronics
cart_000107,user_01863,prod_0431,1,14.36,2023-10-26T04:20:50Z,Home & Kitchen
cart_000108,user_05558,prod_0595,3,48.39,2024-03-26T11:55:44Z,Books
cart_000109,user_09751,prod_0376,3,486.24,2024-08-29T11:11:15Z,Home & Kitchen
cart_000110,user_00508,prod_0708,2,200.98,2023-09-20T07:30:47Z,Sports & Fitness
cart_000111,user_06135,prod_0585,2,27.88,2022-07-29T12:53:43Z,Books
cart_000112,user_09850,prod_0059,1,1122.31,2022-04-10T05:43:42Z,Electronics
cart_000113,user_00177,prod_0241,1,178.38,2023-09-03T07:10:42Z,Fashion
cart_000114,user_08171,prod_0044,1,476.46,2022-05-07T18:55:56Z,Electronics
cart_000115,user_03815,prod_0550,3,66.0,2024-05-06T15:44:44Z,Books
cart_000116,user_05947,prod_0625,2,63.21,2023-06-01T09:22:41Z,Books
cart_000117,user_03044,prod_0931,1,368.17,2023-02-17T23:10:10Z,Automotive
cart_000118,user_07389,prod_0792,1,13.17,2022-09-12T12:02:40Z,Beauty
cart_000119,user_07643,prod_0925,1,317.15,2023-07-08T19:18:45Z,Automotive
cart_000120,user_07946,prod_0034,1,153.18,2022-03-20T09:21:44Z,Electronics
cart_000121,user_09814,prod_0424,2,261.85,2023-01-11T08:39:31Z,Home & Kitchen
cart_000122,user_00335,prod_0717,1,631.7,2024-04-28T03:01:35Z,Sports & Fitness
cart_000123,user_06140,prod_0620,1,50.98,2023-10-17T17:24:48Z,Books
cart_000124,user_04424,prod_0934,1,472.2,2023-02-17T12:03:05Z,Automotive
cart_000125,user_03120,prod_0982,5,446.59,2022-11-08T00:27:49Z,Automotive
cart_000126,user_02637,prod_0873,1,184.95,2024-03-13T16:50:58Z,Toys & Games
cart_000127,user_08093,prod_0593,1,27.62,2022-11-17T01:58:16Z,Books
cart_000128,user_09163,prod_0434,1,575.58,2023-09-14T11:54:22Z,Home & Kitchen
cart_000129,user_03805,prod_0564,2,70.87,2024-11-26T09:39:49Z,Books
cart_000130,user_07480,prod_0375,1,252.51,2022-10-08T22:00:31Z,Home & Kitchen
cart_000131,user_00120,prod_0215,1,163.48,2024-09-07T19:31:56Z,Fashion
cart_000132,user_04103,prod_0476,1,292.27,2022-10-18T01:14:36Z,Home & Kitchen
cart_000133,user_02656,prod_0302,2,369.84,2024-02-12T13:42:46Z,Fashion
cart_000134,user_04540,prod_0865,1,9.15,2023-02-06T09:58:16Z,Toys & Games
cart_000135,user_04327,prod_0512,2,33.32,2024-02-21T21:28:50Z,Books
cart_000136,user_08910,prod_0441,1,286.66,2024-08-24T03:42:54Z,Home & Kitchen
cart_000137,user_02524,prod_0006,3,150.0,2022-07-01T14:40:16Z,Electronics
cart_000138,user_02407,prod_0612,4,30.36,2024-10-18T11:46:57Z,Books
cart_000139,user_01561,prod_0672,5,537.73,2022-05-13T19:43:50Z,Sports & Fitness
cart_000140,user_00851,prod_0940,1,455.9,2024-05-12T13:51:19Z,Automotive
cart_000141,user_03870,prod_0387,2,422.57,2022-08-07T01:39:40Z,Home & Kitchen
cart_000142,user_02467,prod_0291,2,291.59,2023-07-28T07:48:03Z,Fashion
cart_000143,user_07729,prod_0660,1,756.15,2022-03-11T14:58:02Z,Sports & Fitness
cart_000144,user_08031,prod_0458,3,269.6,2022-12-14T22:23:03Z,Home & Kitchen
cart_000145,user_06675,prod_0392,5,27.3,2022-10-16T19:24:36Z,Home & Kitchen
cart_000146,user_07568,prod_0505,1,274.45,2023-09-07T12:36:02Z,Home & Kitchen
cart_000147,user_06830,prod_0317,1,247.68,2023-12-21T10:57:21Z,Fashion
cart_000148,user_06271,prod_0648,1,399.16,2022-05-15T08:00:35Z,Sports & Fitness
cart_000149,user_05890,prod_0373,2,126.32,2022-01-25T06:24:39Z,Home & Kitchen
cart_000150,user_00483,prod_0098,1,298.31,2022-07-15T20:51:03Z,Electronics
cart_000151,user_05650,prod_0964,2,360.28,2022-11-28T12:46:10Z,Automotive
cart_000152,user_03832,prod_0746,2,115.54,2024-06-29T08:59:04Z,Beauty
cart_000153,user_05099,prod_0439,1,524.64,2024-11-03T17:58:45Z,Home & Kitchen
cart_000154,user_04927,prod_0576,1,69.03,2024-10-07T09:57:29Z,Books
cart_000155,user_07364,prod_0972,1,249.26,2023-05-24T07:07:45Z,Automotive
cart_000156,user_05980,prod_0621,1,44.0,2022-04-23T21:15:28Z,Books
cart_000157,user_08371,prod_0116,4,39.09,2023-04-12T20:15:59Z,Electronics
cart_000158,user_09299,prod_0895,1,103.76,2024-02-03T02:18:12Z,Toys & Games
cart_000159,user_03373,prod_0489,1,127.77,2022-11-22T05:29:30Z,Home & Kitchen
cart_000160,user_00994,prod_0541,2,43.84,2022-04-02T20:44:59Z,Books
cart_000161,user_07821,prod_0572,1,20.95,2023-04-22T15:41:10Z,Books
cart_000162,user_05560,prod_0024,1,869.87,2022-12-03T10:55:46Z,Electronics
cart_000163,user_05159,prod_0614,3,44.96,2023-07-21T20:57:28Z,Books
cart_000164,user_03669,prod_0703,3,729.42,2023-06-10T16:52:36Z,Sports & Fitness
cart_000165,user_06038,prod_0859,1,106.27,2023-09-28T15:00:52Z,Toys & Games
cart_000166,user_09291,prod_0698,1,647.69,2023-05-29T13:46:27Z,Sports & Fitness
cart_000167,user_09073,prod_0474,1,217.41,2022-02-24T22:16:03Z,Home & Kitchen
cart_000168,user_09243,prod_0093,2,1085.88,2022-06-12T14:45:51Z,Electronics
cart_000169,user_03802,prod_0251,2,191.99,2023-03-10T08:50:53Z,Fashion
cart_000170,user_09986,prod_0650,1,262.81,2024-11-11T00:39:46Z,Sports & Fitness
