order_id,user_id,product_id,order_date,status,total,n_items
order_000001,user_08816,prod_0255,2023-03-01T07:16:39Z,delivered,62.46,1
order_000002,user_09888,prod_0772,2022-10-20T22:15:34Z,cancelled,282.64,2
order_000002,user_09888,prod_0310,2022-10-20T22:15:34Z,cancelled,282.64,2
order_000003,user_00164,prod_0552,2022-08-18T05:01:20Z,delivered,357.31,2
order_000003,user_00164,prod_0240,2022-08-18T05:01:20Z,delivered,357.31,2
order_000004,user_02276,prod_0905,2022-07-16T14:01:05Z,processing,330.37,2
order_000004,user_02276,prod_0074,2022-07-16T14:01:05Z,processing,330.37,2
order_000005,user_07257,prod_0106,2022-02-23T20:31:01Z,cancelled,2088.76,2
order_000005,user_07257,prod_0121,2022-02-23T20:31:01Z,cancelled,2088.76,2
order_000006,user_09342,prod_0198,2024-07-26T04:03:36Z,returned,618.23,3
order_000006,user_09342,prod_0297,2024-07-26T04:03:36Z,returned,618.23,3
order_000006,user_09342,prod_0492,2024-07-26T04:03:36Z,returned,618.23,3
order_000007,user_09399,prod_0204,2023-05-27T22:16:47Z,delivered,349.66,2
order_000007,user_09399,prod_0878,2023-05-27T22:16:47Z,delivered,349.66,2
order_000008,user_08338,prod_0872,2023-04-27T15:10:48Z,processing,510.43,2
order_000008,user_08338,prod_0299,2023-04-27T15:10:48Z,processing,510.43,2
order_000009,user_09978,prod_0281,2022-03-01T11:50:47Z,delivered,562.74,2
order_000009,user_09978,prod_0847,2022-03-01T11:50:47Z,delivered,562.74,2
order_000010,user_02752,prod_0466,2024-11-25T02:24:28Z,delivered,202.98,1
order_000011,user_00444,prod_0885,2022-11-03T18:04:43Z,shipped,117.05,1
order_000012,user_09541,prod_0200,2022-07-09T14:40:44Z,delivered,1973.65,4
order_000012,user_09541,prod_0056,2022-07-09T14:40:44Z,delivered,1973.65,4
order_000012,user_09541,prod_0272,2022-07-09T14:40:44Z,delivered,1973.65,4
order_000012,user_09541,prod_0143,2022-07-09T14:40:44Z,delivered,1973.65,4
order_000013,user_05258,prod_0620,2023-04-21T13:35:01Z,cancelled,50.98,1
order_000014,user_04906,prod_0855,2023-08-08T13:42:53Z,cancelled,145.46,1
order_000015,user_04894,prod_0738,2022-03-13T05:48:53Z,delivered,1642.82,5
order_000015,user_04894,prod_0290,2022-03-13T05:48:53Z,delivered,1642.82,5
order_000015,user_04894,prod_0938,2022-03-13T05:48:53Z,delivered,1642.82,5
order_000015,user_04894,prod_0357,2022-03-13T05:48:53Z,delivered,1642.82,5
order_000015,user_04894,prod_0033,2022-03-13T05:48:53Z,delivered,1642.82,5
order_000016,user_02016,prod_0627,2023-05-23T07:54:20Z,delivered,13.51,1
order_000017,user_08338,prod_0772,2022-10-13T17:17:32Z,cancelled,386.33,3
order_000017,user_08338,prod_0850,2022-10-13T17:17:32Z,cancelled,386.33,3
order_000017,user_08338,prod_0812,2022-10-13T17:17:32Z,cancelled,386.33,3
order_000018,user_03732,prod_0073,2024-05-31T02:02:32Z,processing,136.03,1
order_000019,user_08942,prod_0097,2024-12-24T12:56:22Z,delivered,1015.6,1
order_000020,user_02730,prod_0273,2023-05-23T09:02:12Z,processing,513.37,2
order_000020,user_02730,prod_0835,2023-05-23T09:02:12Z,processing,513.37,2
order_000021,user_00892,prod_0827,2022-01-24T21:08:20Z,delivered,130.06,3
order_000021,user_00892,prod_0822,2022-01-24T21:08:20Z,delivered,130.06,3
order_000021,user_00892,prod_0616,2022-01-24T21:08:20Z,delivered,130.06,3
order_000022,user_07798,prod_0491,2023-02-08T03:38:30Z,cancelled,219.53,1
order_000023,user_06897,prod_0194,2024-10-03T22:53:48Z,delivered,330.94,1
order_000024,user_09168,prod_0491,2024-02-20T18:08:56Z,cancelled,219.53,1
order_000025,user_03991,prod_0589,2022-01-23T10:20:38Z,delivered,110.15,2
order_000025,user_03991,prod_0803,2022-01-23T10:20:38Z,delivered,110.15,2
order_000026,user_02985,prod_0978,2022-10-31T22:41:45Z,delivered,236.56,1
order_000027,user_05221,prod_0366,2022-01-28T22:55:47Z,delivered,558.06,2
order_000027,user_05221,prod_0436,2022-01-28T22:55:47Z,delivered,558.06,2
order_000028,user_09972,prod_0905,2022-08-23T05:50:29Z,cancelled,924.27,4
order_000028,user_09972,prod_0886,2022-08-23T05:50:29Z,cancelled,924.27,4
order_000028,user_09972,prod_0039,2022-08-23T05:50:29Z,cancelled,924.27,4
order_000028,user_09972,prod_0862,2022-08-23T05:50:29Z,cancelled,924.27,4
order_000029,user_06359,prod_0307,2022-01-22T16:01:20Z,cancelled,424.82,3
order_000029,user_06359,prod_0871,2022-01-22T16:01:20Z,cancelled,424.82,3
order_000029,user_06359,prod_0861,2022-01-22T16:01:20Z,cancelled,424.82,3
order_000030,user_00481,prod_0385,2023-06-03T04:12:38Z,cancelled,109.39,1
order_000031,user_07389,prod_0148,2024-09-27T09:07:43Z,delivered,1057.19,1
order_000032,user_01841,prod_0967,2024-10-28T17:58:39Z,returned,216.82,1
order_000033,user_00748,prod_0670,2022-01-24T14:14:13Z,delivered,600.87,1
order_000034,user_09313,prod_0089,2022-06-27T15:15:06Z,delivered,1188.45,3
order_000034,user_09313,prod_0627,2022-06-27T15:15:06Z,delivered,1188.45,3
order_000034,user_09313,prod_0622,2022-06-27T15:15:06Z,delivered,1188.45,3
order_000035,user_00118,prod_0002,2024-06-20T07:43:37Z,processing,1051.92,2
order_000035,user_00118,prod_0302,2024-06-20T07:43:37Z,processing,1051.92,2
order_000036,user_01815,prod_0578,2023-02-13T10:03:26Z,delivered,65.3,1
order_000037,user_04532,prod_0381,2022-05-09T16:00:23Z,processing,513.24,1
order_000038,user_02468,prod_0935,2024-03-02T16:09:02Z,delivered,735.82,4
order_000038,user_02468,prod_0212,2024-03-02T16:09:02Z,delivered,735.82,4
order_000038,user_02468,prod_0726,2024-03-02T16:09:02Z,delivered,735.82,4
order_000038,user_02468,prod_0541,2024-03-02T16:09:02Z,delivered,735.82,4
order_000039,user_02675,prod_0560,2024-01-21T00:23:31Z,delivered,1319.02,4
order_000039,user_02675,prod_0013,2024-01-21T00:23:31Z,delivered,1319.02,4
order_000039,user_02675,prod_0524,2024-01-21T00:23:31Z,delivered,1319.02,4
order_000039,user_02675,prod_0079,2024-01-21T00:23:31Z,delivered,1319.02,4
order_000040,user_05518,prod_0421,2022-10-31T18:17:02Z,delivered,234.36,1
order_000041,user_04311,prod_0479,2022-08-24T02:11:46Z,delivered,398.98,1
