user_id,product_id,duration_s,viewed_at,source
user_08565,prod_0041,15,2023-06-30T10:08:51Z,category
user_06422,prod_0468,224,2023-06-10T17:09:39Z,recommendation
user_02066,prod_0825,63,2024-12-27T22:50:38Z,browse
user_01228,prod_0644,15,2024-07-15T19:32:13Z,browse
user_03311,prod_0386,18,2024-05-25T19:39:45Z,homepage
user_06698,prod_0124,40,2024-12-24T05:30:18Z,recommendation
user_05170,prod_0446,384,2024-01-14T07:56:52Z,category
user_01671,prod_0242,14,2022-08-20T21:04:55Z,category
user_06921,prod_0540,68,2023-10-28T06:17:32Z,category
user_05800,prod_0453,24,2023-01-12T14:28:13Z,search
user_08316,prod_0714,86,2022-05-30T22:11:33Z,homepage
user_03506,prod_0250,24,2022-08-10T10:54:34Z,browse
user_07506,prod_0374,28,2022-06-12T17:55:25Z,search
user_07356,prod_1000,6,2024-06-06T12:58:50Z,category
user_01685,prod_0066,28,2024-02-17T04:39:19Z,recommendation
user_06383,prod_0388,460,2023-12-26T13:21:50Z,recommendation
user_01834,prod_0716,10,2022-11-24T01:36:51Z,homepage
user_07603,prod_0658,26,2022-01-14T15:45:49Z,search
user_06845,prod_0959,34,2023-03-07T06:25:00Z,homepage
user_01636,prod_0604,91,2023-07-20T08:48:26Z,recommendation
user_08449,prod_0920,34,2024-01-27T13:33:42Z,browse
user_05844,prod_0049,118,2023-03-10T23:21:41Z,search
user_02661,prod_0864,14,2022-07-13T10:57:43Z,recommendation
user_09511,prod_0281,32,2022-04-17T00:06:43Z,search
user_01175,prod_0024,31,2022-12-30T09:09:25Z,recommendation
user_03954,prod_0866,18,2024-10-23T21:29:35Z,recommendation
user_00974,prod_0089,33,2024-07-06T22:43:43Z,search
user_08277,prod_0079,15,2022-10-20T18:15:18Z,search
user_04429,prod_0874,72,2024-11-20T13:55:15Z,browse
user_06013,prod_0883,9,2022-01-24T10:54:52Z,category
user_08987,prod_0454,7,2024-04-04T22:06:03Z,category
user_06471,prod_0389,12,2024-09-19T15:31:41Z,browse
user_00875,prod_0397,35,2022-07-13T16:43:28Z,search
user_00020,prod_0721,51,2024-10-11T18:56:34Z,homepage
user_06172,prod_0181,17,2023-10-06T05:40:48Z,search
user_01918,prod_0705,57,2022-05-11T04:35:34Z,browse
user_02099,prod_0028,2,2023-11-26T01:38:17Z,search
user_03753,prod_0641,22,2022-07-25T07:16:07Z,homepage
user_08240,prod_0188,19,2022-09-22T00:02:17Z,category
user_02933,prod_0054,46,2023-01-01T16:41:03Z,category
user_09288,prod_0908,92,2023-02-23T02:33:15Z,homepage
user_07045,prod_0556,482,2022-02-07T17:13:31Z,homepage
user_08840,prod_0685,29,2023-09-22T04:30:57Z,recommendation
user_09312,prod_0535,0,2023-01-24T17:13:16Z,homepage
user_09905,prod_0192,35,2022-08-21T15:31:50Z,browse
user_07757,prod_0868,25,2023-07-18T16:49:11Z,recommendation
user_00599,prod_0080,49,2023-08-10T02:54:45Z,browse
user_05072,prod_0144,52,2022-06-23T19:32:08Z,recommendation
user_06814,prod_0681,18,2024-07-08T20:55:51Z,browse
user_01165,prod_0853,9,2024-12-24T15:16:50Z,browse
user_06580,prod_0759,62,2024-12-09T09:28:30Z,search
user_08691,prod_0277,107,2024-04-25T18:12:55Z,browse
user_01750,prod_0598,61,2024-03-07T08:26:14Z,homepage
