user_id,product_id,added_at
user_00932,prod_0534,2022-10-11T01:16:53Z
user_02591,prod_0080,2024-03-20T05:38:38Z
user_09074,prod_0288,2024-09-27T00:07:22Z
user_02447,prod_0363,2024-09-13T00:10:57Z
user_04280,prod_0295,2024-10-24T22:50:26Z
user_07099,prod_0530,2024-11-17T09:13:43Z
user_03676,prod_0070,2022-06-16T15:42:35Z
user_06388,prod_0119,2022-11-09T22:31:55Z
user_02825,prod_0485,2023-06-18T09:11:44Z
user_05817,prod_0366,2022-11-24T01:07:22Z
user_04182,prod_0474,2024-01-06T14:53:44Z
user_06388,prod_0086,2023-01-21T02:43:49Z
user_00117,prod_0640,2022-08-25T21:55:09Z
user_07627,prod_0710,2023-11-21T05:36:50Z
user_09437,prod_0710,2023-12-23T10:53:05Z
user_05227,prod_0145,2023-01-05T15:05:13Z
user_07038,prod_0794,2024-03-15T10:05:32Z
user_03468,prod_0384,2024-08-05T03:32:16Z
user_00599,prod_0374,2022-02-28T00:15:52Z
user_05710,prod_0964,2023-03-20T18:55:14Z
user_09298,prod_0691,2024-09-27T20:38:40Z
user_08884,prod_0163,2022-09-22T03:30:16Z
user_08011,prod_0406,2023-12-04T04:38:53Z
user_02211,prod_0632,2024-12-21T17:44:11Z
user_08016,prod_0874,2024-08-15T09:54:15Z
user_05618,prod_0010,2024-12-25T02:05:35Z
user_03728,prod_0502,2024-10-13T05:06:56Z
user_01556,prod_0636,2023-08-08T23:05:34Z
user_08444,prod_0760,2022-12-17T11:57:48Z
user_02544,prod_0104,2022-02-25T18:57:05Z
user_07057,prod_0197,2023-06-24T16:00:51Z
user_07722,prod_0758,2022-10-31T07:51:36Z
user_07658,prod_0163,2024-08-31T23:01:35Z
user_09925,prod_0642,2022-06-10T15:24:20Z
user_01210,prod_0395,2022-10-22T16:50:34Z
user_06763,prod_0425,2022-07-18T18:17:10Z
user_03013,prod_0808,2024-02-19T21:28:46Z
user_03677,prod_0903,2023-02-15T01:38:23Z
user_01010,prod_0608,2023-06-15T19:54:40Z
user_05294,prod_0121,2022-02-05T18:22:00Z
user_09022,prod_0169,2022-10-31T04:28:09Z
user_07534,prod_0003,2022-01-11T04:20:46Z
user_09081,prod_0266,2024-03-07T12:04:51Z
user_01472,prod_0903,2024-07-11T22:33:10Z
user_06467,prod_0252,2022-06-28T04:07:58Z
user_00783,prod_0187,2022-10-19T03:39:50Z
user_00375,prod_0220,2024-06-27T01:42:16Z
user_02256,prod_0634,2022-04-15T10:18:53Z
user_08738,prod_0217,2023-03-27T22:39:28Z
user_06628,prod_0679,2024-05-16T17:42:55Z
user_07790,prod_0033,2024-05-08T10:17:33Z
user_09684,prod_0138,2024-01-08T05:53:33Z
user_06958,prod_0908,2023-07-20T01:04:15Z
user_03704,prod_0517,2024-07-31T11:58:12Z
user_09247,prod_0634,2023-03-01T02:20:15Z
user_02310,prod_0267,2024-06-21T15:55:28Z
user_09378,prod_0120,2024-08-23T20:39:27Z
user_07419,prod_0157,2023-05-10T12:27:16Z
user_05410,prod_0938,2024-04-18T01:03:35Z
user_09353,prod_0749,2024-10-07T05:10:58Z
user_06165,prod_0778,2022-11-20T21:46:27Z
user_09324,prod_0422,2023-05-29T19:02:13Z
user_05321,prod_0999,2024-08-26T13:58:26Z
user_07897,prod_0636,2022-11-29T04:38:18Z
user_00966,prod_0611,2023-09-15T22:23:33Z
user_01907,prod_0108,2024-12-25T01:01:08Z
user_07133,prod_0790,2022-05-06T13:07:01Z
user_02877,prod_0909,2024-02-14T10:55:12Z
user_02200,prod_0387,2024-06-24T12:23:01Z
user_07715,prod_0023,2024-06-03T13:51:39Z
user_00698,prod_0183,2023-12-11T10:52:25Z
user_09485,prod_0369,2022-05-25T11:43:59Z
user_07793,prod_0602,2023-11-17T12:54:28Z
user_06341,prod_0531,2024-07-15T13:53:34Z
user_09511,prod_0329,2024-03-08T06:40:42Z
user_08347,prod_0596,2023-03-14T00:54:55Z
user_01676,prod_0500,2022-04-30T19:58:41Z
user_07165,prod_0107,2024-08-08T12:43:53Z
user_02859,prod_0721,2023-09-23T15:17:33Z
user_00051,prod_0086,2023-10-21T19:06:03Z
user_02327,prod_0293,2024-10-03T15:47:41Z
user_09306,prod_0357,2022-10-28T08:04:13Z
user_08835,prod_0474,2024-04-16T13:50:30Z
user_07877,prod_0988,2023-02-16T19:07:01Z
user_01829,prod_0162,2024-12-25T15:30:52Z
user_00835,prod_0065,2023-11-27T20:32:52Z
user_00195,prod_0038,2023-07-19T15:57:36Z
user_02095,prod_0845,2024-04-15T08:15:55Z
user_02978,prod_0817,2022-08-10T04:28:45Z
user_05229,prod_0024,2022-08-23T07:10:45Z
user_03323,prod_0075,2022-06-29T21:05:08Z
user_05907,prod_0020,2023-08-06T05:23:38Z
user_03600,prod_0257,2023-02-20T11:13:59Z
user_00207,prod_0201,2022-02-25T04:46:39Z
user_01302,prod_0884,2023-03-13T09:39:10Z
user_08011,prod_0786,2023-07-21T05:03:58Z
user_09277,prod_0296,2022-02-28T17:49:28Z
user_05973,prod_0109,2023-11-09T03:01:49Z
user_00929,prod_0507,2022-05-06T19:47:26Z
user_05761,prod_0497,2022-01-12T03:21:13Z
user_06840,prod_0247,2023-05-06T06:27:16Z
user_07742,prod_0549,2022-04-08T15:11:15Z
user_01400,prod_0667,2023-09-30T10:30:46Z
user_02543,prod_0058,2022-11-19T21:50:58Z
user_09218,prod_0976,2023-11-14T01:11:33Z
user_08116,prod_0034,2022-01-19T14:01:45Z
user_00891,prod_0576,2024-12-11T06:41:06Z
user_04367,prod_0140,2024-07-23T09:28:29Z
user_08298,prod_0480,2024-11-29T10:12:18Z
user_00676,prod_0240,2023-08-27T16:26:40Z
user_01028,prod_0676,2023-11-27T21:01:52Z
user_08378,prod_0436,2023-07-22T22:58:52Z
user_00133,prod_0406,2022-09-11T18:15:41Z
user_05394,prod_0727,2023-05-21T19:55:06Z
user_06421,prod_0631,2024-06-05T17:15:37Z
user_01840,prod_0781,2023-07-27T05:21:32Z
user_00541,prod_0619,2023-04-23T00:03:51Z
user_09937,prod_0510,2024-04-09T11:24:20Z
user_02821,prod_0165,2023-12-15T13:22:53Z
user_08772,prod_0177,2024-12-02T05:14:30Z
user_03660,prod_0864,2022-02-24T15:54:29Z
user_04720,prod_0919,2022-07-23T08:19:51Z
user_06820,prod_0934,2024-05-16T04:26:37Z
user_08096,prod_0096,2024-03-29T03:03:58Z
user_01814,prod_0599,2024-06-20T03:19:56Z
user_07100,prod_0931,2023-04-07T04:36:02Z
user_02427,prod_0553,2023-09-16T20:59:28Z
user_01447,prod_0196,2023-08-20T17:19:16Z
user_08948,prod_0612,2022-03-31T17:08:09Z
user_05974,prod_0602,2022-09-01T23:48:59Z
user_09548,prod_0403,2024-01-10T00:11:07Z
user_01515,prod_0884,2022-03-08T08:14:44Z
user_02711,prod_0850,2022-12-25T04:43:41Z
user_00424,prod_0815,2023-10-28T22:02:58Z
